name_ko,name_en,url
안동대학교,Andong National University,https://ipsi.anu.ac.kr/
안산대학교,Ansan University,https://iphak.ansan.ac.kr/iphak
안양대학교,Anyang University,https://enter.anyang.ac.kr/main/
여주대학교,Yeoju Institute of Technology,https://ipsi.yit.ac.kr/ipsi/index.do
연성대학교,Yeonsung University,https://ipsi.yeonsung.ac.kr/ipsi/index.do
연세대학교,Yonsei University,https://admission.yonsei.ac.kr/
연암공과대학교,Yonam Institute of Technology,https://iphak.yonam.ac.kr/
영남대학교,Yeungnam University,https://enter.yu.ac.kr/
영남사이버대학교,Yeungnam Cyber University,https://www.yncu.ac.kr/
영남신학대학교,Youngnam Theological University,https://www.yntu.ac.kr/
영남이공대학교,Yeungnam University College,https://exam.ync.ac.kr/
영동대학교,Youngdong University,https://ipsi.youngdong.ac.kr/
영산대학교,Youngsan University,https://www.ysu.ac.kr/ipsi/Main.do
영산선학대학교,Youngsan University of Son Studies,https://www.yss.ac.kr/
영진사이버대학,Yeungjin Cyber College,https://ycc.ac.kr
영진전문대학교,Yeungjin University,https://ipsi.yju.ac.kr/ipsi/index.do
예명대학원대학교,Yemyung Graduate University,https://yemyung.ac.kr
예수대학교,Jesus University,https://jesus.ac.kr
예원예술대학교,Yewon Arts University,https://www.yewon.ac.kr/
예일신학대학원대학교,Yaeil Theological Graduate University,https://yaeil.ac.kr
오산대학교,Osan University,https://iphak.osan.ac.kr/
온석대학원대학교,Onseok University,https://onseok.ac.kr
용인대학교,Yong-In University,https://yongin.ac.kr
용인예술과학대학교,Yong-In Arts & Science University,https://ipsi.ysc.ac.kr/ipsi/
우석대학교,Woosuk University,https://enter.woosuk.ac.kr/
우송대학교,Woosong University,https://ent.wsu.ac.kr/
우송정보대학,Woosong College,https://ent.wsi.ac.kr/
울산과학기술원,Ulsan National Institute of Science and Technology (UNIST),https://adm-u.unist.ac.kr/
울산과학대학교,Ulsan College,https://www.uc.ac.kr/ipsi/
울산대학교,University of Ulsan,https://www.ulsan.ac.kr/iphak/Main.do
웅지세무대학교,Woongji Tax College,https://www.woongji.ac.kr/
원광대학교,Wonkwang University,https://ipsi.wku.ac.kr/main.do
원광디지털대학교,Wonkwang Digital University,https://go.wdu.ac.kr/
원광보건대학교,Wonkwang Health Science University,https://www.wkhc.ac.kr/
원불교대학원대학교,Won Buddhism Graduate School,https://wbgs.ac.kr
웨스트민스터신학대학원대학교,Westminster Graduate School of Theology,https://wgst.ac.kr
위덕대학교,Uiduk University,https://ipsi.uu.ac.kr/
유원대학교,U1 University,https://ipsi.u1.ac.kr/
유타대학교아시아캠퍼스,University of Utah Asia Campus,https://utah.ac.kr
유한대학교,Yuhan University,https://sky.yuhan.ac.kr/
을지대학교,Eulji University,https://admission.eulji.ac.kr/
이화여자대학교,Ewha Womans University,https://admission.ewha.ac.kr/admission/html/main/main.asp
인덕대학교,Induk University,https://ipsi.induk.ac.kr/
인제대학교,Inje University,https://admission.inje.ac.kr/
인천가톨릭대학교,Incheon Catholic University,https://iccu.ac.kr
인천대학교,Incheon National University,https://admission.inu.ac.kr/main.do
인천재능대학교,Incheon Jaenoung University,https://www.jeiu.ac.kr/
인하공업전문대학,Inha Technical College,https://ipsi.inhatc.ac.kr/
인하대학교,Inha University,https://admission.inha.ac.kr/cms/FR_CON/index.do?MENU_ID=170
장로회신학대학교,Presbyterian University and Theological Seminary,https://www.puts.ac.kr/
장안대학교,Jangan University,https://iphak.jangan.ac.kr/
적십자간호대학교,Red Cross College of Nursing,https://www.crc.ac.kr/
전남과학대학교,Chunnam Techno University,https://cntu.ac.kr
전남대학교,Chonnam National University,https://admission.jnu.ac.kr/
전남도립대학교,Jeonnam Provincial College,https://www.dorip.ac.kr/iphak/index.do
전북과학대학교,Jeonbuk Science College,https://www.jbsc.ac.kr/portal/ipsi/main/main.do
전북대학교,Jeonbuk National University,https://enter.jbnu.ac.kr/submenu.do?menuurl=rOjsbGuR5i0fqsax24xcPQ%3D%3D&
전주교육대학교,Jeonju National University of Education,https://www.jnue.ac.kr/
전주기전대학,Jeonju Kijeon College,https://www.kijeon.ac.kr/
전주대학교,Jeonju University,https://jj.ac.kr
전주비전대학교,Jeonju Vision University,https://iphak.jvision.ac.kr/main/
정인대학교,Jeongin College,https://www.jeongin.ac.kr/
정화예술대학교,Jeonghwa Arts College,https://jeonghwa.ac.kr
제주관광대학교,Jeju Tourism University,https://www.ctc.ac.kr/
제주국제대학교,Jeju International University,https://apply.jeju.ac.kr/
제주대학교,Jeju National University,https://ibsi.jejunu.ac.kr/10000048
제주한라대학교,Cheju Halla University,https://ipsi.chu.ac.kr/
조선간호대학교,Chosun Nursing College,https://www.cnc.ac.kr/
조선대학교,Chosun University,https://i.chosun.ac.kr/intro
조선이공대학교,Chosun College of Science and Technology,https://cst.ac.kr
중부대학교,Joongbu University,https://ipsi.joongbu.ac.kr/ipsi/
중앙대학교,Chung-Ang University,https://admission.cau.ac.kr/main.do
중앙승가대학교,Joongang Sangha University,https://sangha.ac.kr
중원대학교,Jungwon University,https://ipsi.jwu.ac.kr/site/siteView.jwu
진주교육대학교,Jinju National University of Education,https://www.cue.ac.kr/
진주보건대학교,Jinju Health University,https://ibsi.jhc.ac.kr/
차의과학대학교,CHA University,https://admission.cha.ac.kr/
창신대학교,Changshin University,https://admission.cs.ac.kr/
창원대학교,Changwon National University,https://www.changwon.ac.kr/ipsi/
창원문성대학교,Changwon Moonsung University,https://www.cmu.ac.kr/
천안연암대학교,Cheonan Yonam University,https://www.yonam-c.ac.kr/
청강문화산업대학교,Chungkang College of Cultural Industries,https://www.chungkang.academy/
청심신학대학원대학교,Cheongshim Graduate School of Theology,https://csgst.ac.kr
청암대학교,Cheongam College,https://www.scca.ac.kr/
청운대학교,Chungwoon University,https://enter.chungwoon.ac.kr/enter/index.do
청주교육대학교,Cheongju National University of Education,https://www.cje.ac.kr/
청주대학교,Cheongju University,https://www.cju.ac.kr/ipsi/index.do
초당대학교,Chodang University,https://admission.cdu.ac.kr/
총신대학교,Chongshin University,https://www.chongshin.ac.kr/mbs/admission/
추계예술대학교,Chugye University for the Arts,https://enter.chugye.ac.kr/
춘천교육대학교,Chuncheon National University of Education,https://www.cnue.ac.kr/
춘해보건대학교,Choonhae College of Health Sciences,https://ch.ac.kr
충남대학교,Chungnam National University,https://ipsi.cnu.ac.kr/
충남도립대학교,Chungnam Provincial College,https://www.cnsu.ac.kr/
충북대학교,Chungbuk National University,https://ipsi.chungbuk.ac.kr/kor/bbs/BBSMSTR_000000000017/lst.do
충북도립대학교,Chungbuk Provincial College,https://www.cpu.ac.kr/
